site.ID;species.ID;abundance
ACHUPALL;1;428
ACHUPALL;722;3
ACHUPALL;723;4
ACHUPALL;724;2
ACHUPALL;725;2
ACHUPALL;759;1
ACHUPALL;806;2
ACHUPALL;839;9
ACHUPALL;877;3
ACHUPALL;902;35
ACHUPALL;903;13
ACHUPALL;904;1
ACHUPALL;905;6
ACHUPALL;906;1
ACHUPALL;986;6
ACHUPALL;1045;14
ACHUPALL;1251;2
ACHUPALL;1265;1
ACHUPALL;2074;8
ACHUPALL;2355;5
ACHUPALL;2532;14
ACHUPALL;2533;16
ACHUPALL;2534;4
ACHUPALL;2535;37
ACHUPALL;2536;7
ACHUPALL;2669;8
ACHUPALL;2850;4
ACHUPALL;2894;7
ACHUPALL;2895;4
ACHUPALL;2896;1
ACHUPALL;2897;6
ACHUPALL;2898;1
ACHUPALL;2935;12
ACHUPALL;2999;1
ACHUPALL;3323;1
ACHUPALL;3325;1
ACHUPALL;3326;2
ACHUPALL;3423;2
ACHUPALL;3424;11
ACHUPALL;3642;5
ACHUPALL;4732;2
ACHUPALL;5051;1
ACHUPALL;5282;1
ACHUPALL;5412;3
ACHUPALL;5413;1
ACHUPALL;5586;4
ACHUPALL;5646;4
ACHUPALL;5666;2
ACHUPALL;5898;1
ACHUPALL;5917;7
ACHUPALL;5926;21
ACHUPALL;5927;2
ACHUPALL;5928;1
ACHUPALL;5929;3
ACHUPALL;5930;2
ACHUPALL;5931;8
ACHUPALL;5932;1
ACHUPALL;5933;4
ACHUPALL;5961;2
ACHUPALL;6782;2
ACHUPALL;6924;5
ACHUPALL;6935;2
ACHUPALL;6936;2
ACHUPALL;7113;2
ACHUPALL;7124;1
ACHUPALL;7129;1
ACHUPALL;7418;2
ACHUPALL;7597;8
ACHUPALL;7614;2
ACHUPALL;7616;1
ACHUPALL;7847;5
ACHUPALL;7966;6
ACHUPALL;8012;2
ACHUPALL;8191;2
ACHUPALL;8267;13
ACHUPALL;8268;5
ACHUPALL;8269;1
ACHUPALL;8270;1
ACHUPALL;8271;1
ACHUPALL;8346;5
ACHUPALL;8504;1
ACHUPALL;9301;4
ACHUPALL;9302;5
ACHUPALL;9310;1
ACHUPALL;9317;5
ACHUPALL;9342;3
ACHUPALL;9764;8
ALLACHER;24;1
ALLACHER;25;31
ALLACHER;1326;2
ALLACHER;1336;2
ALLACHER;1337;22
ALLACHER;1341;1
ALLACHER;2843;2
ALLACHER;4662;2
ALLACHER;4710;33
ALLACHER;7374;34
ALLACHER;7497;9
ALLACHER;7506;1
ALLACHER;7825;4
ALLACHER;7827;8
ALLACHER;7828;1
ALLACHER;7829;13
ALLACHER;7849;10
ALLACHER;7865;2
ALLACHER;8527;1
ALLACHER;9440;64
ALLACHER;9490;5
ALLPAHUA;180;1
ALLPAHUA;228;1
ALLPAHUA;268;1
ALLPAHUA;302;1
ALLPAHUA;303;1
ALLPAHUA;319;1
ALLPAHUA;322;1
ALLPAHUA;323;1
ALLPAHUA;332;1
ALLPAHUA;415;1
ALLPAHUA;416;1
ALLPAHUA;454;1
ALLPAHUA;455;1
ALLPAHUA;553;2
ALLPAHUA;630;1
ALLPAHUA;859;1
ALLPAHUA;932;1
ALLPAHUA;941;4
ALLPAHUA;1024;1
ALLPAHUA;1045;4
ALLPAHUA;1046;1
ALLPAHUA;1059;1
ALLPAHUA;1063;2
ALLPAHUA;1070;2
ALLPAHUA;1106;5
ALLPAHUA;1148;15
ALLPAHUA;1160;1
ALLPAHUA;1207;1
ALLPAHUA;1218;1
ALLPAHUA;1222;1
ALLPAHUA;1277;1
ALLPAHUA;1390;3
ALLPAHUA;1436;2
ALLPAHUA;1438;1
ALLPAHUA;1444;1
ALLPAHUA;1500;2
ALLPAHUA;1580;2
ALLPAHUA;1583;1
ALLPAHUA;1584;2
ALLPAHUA;1589;1
ALLPAHUA;1708;1
ALLPAHUA;1709;1
ALLPAHUA;1738;5
ALLPAHUA;1750;1
ALLPAHUA;1758;1
ALLPAHUA;1842;1
ALLPAHUA;1862;2
ALLPAHUA;1871;1
ALLPAHUA;1911;2
ALLPAHUA;1917;1
ALLPAHUA;1918;1
ALLPAHUA;1929;3
ALLPAHUA;1952;1
ALLPAHUA;1953;1
ALLPAHUA;1969;1
ALLPAHUA;2118;1
ALLPAHUA;2137;1
ALLPAHUA;2140;1
ALLPAHUA;2167;1
ALLPAHUA;2249;1
ALLPAHUA;2250;1
ALLPAHUA;2304;1
ALLPAHUA;2332;1
ALLPAHUA;2393;1
ALLPAHUA;2433;1
ALLPAHUA;2532;1
ALLPAHUA;2533;1
ALLPAHUA;2534;1
ALLPAHUA;2535;1
ALLPAHUA;2616;2
ALLPAHUA;2634;1
ALLPAHUA;2646;1
ALLPAHUA;2694;5
ALLPAHUA;2695;1
ALLPAHUA;2712;1
ALLPAHUA;2764;1
ALLPAHUA;2770;2
ALLPAHUA;2778;1
ALLPAHUA;2795;1
ALLPAHUA;3021;1
ALLPAHUA;3049;1
ALLPAHUA;3050;1
ALLPAHUA;3100;5
ALLPAHUA;3275;1
ALLPAHUA;3276;1
ALLPAHUA;3351;1
ALLPAHUA;3355;1
ALLPAHUA;3505;1
ALLPAHUA;3506;1
ALLPAHUA;3529;1
ALLPAHUA;3530;1
ALLPAHUA;3564;1
ALLPAHUA;3630;1
ALLPAHUA;3671;1
ALLPAHUA;3676;1
ALLPAHUA;3727;8
ALLPAHUA;3760;1
ALLPAHUA;3847;2
ALLPAHUA;3942;1
ALLPAHUA;3946;2
ALLPAHUA;4049;2
ALLPAHUA;4050;1
ALLPAHUA;4089;1
ALLPAHUA;4128;1
ALLPAHUA;4138;1
ALLPAHUA;4166;1
ALLPAHUA;4168;1
ALLPAHUA;4183;1
ALLPAHUA;4187;1
ALLPAHUA;4212;1
ALLPAHUA;4224;1
ALLPAHUA;4228;1
ALLPAHUA;4236;1
ALLPAHUA;4240;1
ALLPAHUA;4252;1
ALLPAHUA;4269;1
ALLPAHUA;4271;1
ALLPAHUA;4272;1
ALLPAHUA;4275;1
ALLPAHUA;4279;1
ALLPAHUA;4322;1
ALLPAHUA;4323;1
ALLPAHUA;4345;6
ALLPAHUA;4347;1
ALLPAHUA;4348;1
ALLPAHUA;4356;1
ALLPAHUA;4438;1
ALLPAHUA;4496;1
ALLPAHUA;4498;3
ALLPAHUA;4500;1
ALLPAHUA;4590;1
ALLPAHUA;4601;2
ALLPAHUA;4614;1
ALLPAHUA;4619;1
ALLPAHUA;4626;1
ALLPAHUA;4627;2
ALLPAHUA;4638;1
ALLPAHUA;4765;1
ALLPAHUA;4767;1
ALLPAHUA;4776;1
ALLPAHUA;4777;3
ALLPAHUA;4803;1
ALLPAHUA;4828;1
ALLPAHUA;4833;1
ALLPAHUA;4864;2
ALLPAHUA;4934;1
ALLPAHUA;4986;1
ALLPAHUA;4990;1
ALLPAHUA;5004;3
ALLPAHUA;5023;1
ALLPAHUA;5103;1
ALLPAHUA;5139;1
ALLPAHUA;5170;1
ALLPAHUA;5238;1
ALLPAHUA;5241;1
ALLPAHUA;5282;1
ALLPAHUA;5293;2
ALLPAHUA;5294;1
ALLPAHUA;5302;2
ALLPAHUA;5343;1
ALLPAHUA;5480;1
ALLPAHUA;5487;1
ALLPAHUA;5488;1
ALLPAHUA;5490;1
ALLPAHUA;5504;5
ALLPAHUA;5578;1
ALLPAHUA;5626;1
ALLPAHUA;5704;2
ALLPAHUA;5705;1
ALLPAHUA;5712;1
ALLPAHUA;5917;2
ALLPAHUA;6091;2
ALLPAHUA;6096;4
ALLPAHUA;6118;2
