"year";"plot";"subplot";"species";"individuals"
2015;1;"A1";"BEMA";2
2016;1;"A1";"BEMA";1
2017;1;"A1";"BEMA";1
2019;1;"A1";"BEMA";0
2015;2;"A1";"BEMA";0
2016;2;"A1";"BEMA";2
2017;2;"A1";"BEMA";0
2019;2;"A1";"BEMA";0
2015;3;"A1";"BEMA";0
2016;3;"A1";"BEMA";1
2017;3;"A1";"BEMA";0
2019;3;"A1";"BEMA";0
2015;4;"A1";"BEMA";0
2016;4;"A1";"BEMA";6
2017;4;"A1";"BEMA";0
2019;4;"A1";"BEMA";0
2015;5;"A1";"BEMA";0
2016;5;"A1";"BEMA";1
2017;5;"A1";"BEMA";0
2019;5;"A1";"BEMA";0
2015;6;"A1";"BEMA";1
2016;6;"A1";"BEMA";1
2017;6;"A1";"BEMA";0
2019;6;"A1";"BEMA";0
2015;7;"A1";"BEMA";0
2016;7;"A1";"BEMA";15
2017;7;"A1";"BEMA";0
2019;7;"A1";"BEMA";20
2015;8;"A1";"BEMA";0
2016;8;"A1";"BEMA";9
2017;8;"A1";"BEMA";1
2019;8;"A1";"BEMA";30
2015;9;"A1";"BEMA";0
2016;9;"A1";"BEMA";3
2017;9;"A1";"BEMA";1
2019;9;"A1";"BEMA";0
2015;1;"A2";"BEMA";3
2016;1;"A2";"BEMA";3
2017;1;"A2";"BEMA";0
2019;1;"A2";"BEMA";0
2015;2;"A2";"BEMA";3
2016;2;"A2";"BEMA";4
2017;2;"A2";"BEMA";0
2019;2;"A2";"BEMA";0
2015;3;"A2";"BEMA";0
2016;3;"A2";"BEMA";2
2017;3;"A2";"BEMA";0
2019;3;"A2";"BEMA";0
2015;4;"A2";"BEMA";0
2016;4;"A2";"BEMA";1
2017;4;"A2";"BEMA";0
2019;4;"A2";"BEMA";0
2015;5;"A2";"BEMA";0
2016;5;"A2";"BEMA";1
2017;5;"A2";"BEMA";0
2019;5;"A2";"BEMA";0
2015;6;"A2";"BEMA";2
2016;6;"A2";"BEMA";3
2017;6;"A2";"BEMA";0
2019;6;"A2";"BEMA";0
2015;7;"A2";"BEMA";0
2016;7;"A2";"BEMA";14
2017;7;"A2";"BEMA";0
2019;7;"A2";"BEMA";25
2015;8;"A2";"BEMA";0
2016;8;"A2";"BEMA";12
2017;8;"A2";"BEMA";0
2019;8;"A2";"BEMA";15
2015;9;"A2";"BEMA";0
2016;9;"A2";"BEMA";7
2017;9;"A2";"BEMA";0
2019;9;"A2";"BEMA";0
2015;1;"A3";"BEMA";0
2016;1;"A3";"BEMA";4
2017;1;"A3";"BEMA";0
2019;1;"A3";"BEMA";0
2015;2;"A3";"BEMA";1
2016;2;"A3";"BEMA";4
2017;2;"A3";"BEMA";0
2019;2;"A3";"BEMA";0
2015;3;"A3";"BEMA";0
2016;3;"A3";"BEMA";4
2017;3;"A3";"BEMA";0
2019;3;"A3";"BEMA";0
2015;4;"A3";"BEMA";0
2016;4;"A3";"BEMA";1
2017;4;"A3";"BEMA";0
2019;4;"A3";"BEMA";1
2015;5;"A3";"BEMA";0
2016;5;"A3";"BEMA";1
2017;5;"A3";"BEMA";0
2019;5;"A3";"BEMA";0
2015;6;"A3";"BEMA";0
2016;6;"A3";"BEMA";1
2017;6;"A3";"BEMA";0
2019;6;"A3";"BEMA";0
2015;7;"A3";"BEMA";0
2016;7;"A3";"BEMA";16
2017;7;"A3";"BEMA";2
2019;7;"A3";"BEMA";30
2015;8;"A3";"BEMA";0
2016;8;"A3";"BEMA";2
2017;8;"A3";"BEMA";0
2019;8;"A3";"BEMA";6
2015;9;"A3";"BEMA";0
2016;9;"A3";"BEMA";6
2017;9;"A3";"BEMA";0
2019;9;"A3";"BEMA";0
2015;1;"A4";"BEMA";1
2016;1;"A4";"BEMA";2
2017;1;"A4";"BEMA";0
2019;1;"A4";"BEMA";0
2015;2;"A4";"BEMA";4
2016;2;"A4";"BEMA";1
2017;2;"A4";"BEMA";0
2019;2;"A4";"BEMA";0
2015;3;"A4";"BEMA";0
2016;3;"A4";"BEMA";2
2017;3;"A4";"BEMA";0
2019;3;"A4";"BEMA";0
2015;4;"A4";"BEMA";0
2016;4;"A4";"BEMA";1
2017;4;"A4";"BEMA";0
2019;4;"A4";"BEMA";2
2015;5;"A4";"BEMA";1
2016;5;"A4";"BEMA";1
2017;5;"A4";"BEMA";0
2019;5;"A4";"BEMA";0
2015;6;"A4";"BEMA";0
2016;6;"A4";"BEMA";1
2017;6;"A4";"BEMA";0
2019;6;"A4";"BEMA";0
2015;7;"A4";"BEMA";0
2016;7;"A4";"BEMA";10
2017;7;"A4";"BEMA";0
2019;7;"A4";"BEMA";15
2015;8;"A4";"BEMA";0
2016;8;"A4";"BEMA";13
2017;8;"A4";"BEMA";0
2019;8;"A4";"BEMA";4
2015;9;"A4";"BEMA";0
2016;9;"A4";"BEMA";10
2017;9;"A4";"BEMA";0
2019;9;"A4";"BEMA";0
2015;1;"A5";"BEMA";0
2016;1;"A5";"BEMA";2
2017;1;"A5";"BEMA";0
2019;1;"A5";"BEMA";0
2015;2;"A5";"BEMA";0
2016;2;"A5";"BEMA";2
2017;2;"A5";"BEMA";0
2019;2;"A5";"BEMA";0
2015;3;"A5";"BEMA";0
2016;3;"A5";"BEMA";4
2017;3;"A5";"BEMA";0
2019;3;"A5";"BEMA";0
2015;4;"A5";"BEMA";0
2016;4;"A5";"BEMA";1
2017;4;"A5";"BEMA";0
2019;4;"A5";"BEMA";0
2015;5;"A5";"BEMA";1
2016;5;"A5";"BEMA";0
2017;5;"A5";"BEMA";0
2019;5;"A5";"BEMA";0
2015;6;"A5";"BEMA";0
2016;6;"A5";"BEMA";6
2017;6;"A5";"BEMA";0
2019;6;"A5";"BEMA";0
2015;7;"A5";"BEMA";0
2016;7;"A5";"BEMA";16
2017;7;"A5";"BEMA";0
2019;7;"A5";"BEMA";12
2015;8;"A5";"BEMA";0
2016;8;"A5";"BEMA";4
2017;8;"A5";"BEMA";0
2019;8;"A5";"BEMA";8
2015;9;"A5";"BEMA";0
2016;9;"A5";"BEMA";8
2017;9;"A5";"BEMA";0
2019;9;"A5";"BEMA";0
2015;1;"A6";"BEMA";0
2016;1;"A6";"BEMA";1
2017;1;"A6";"BEMA";0
2019;1;"A6";"BEMA";0
2015;2;"A6";"BEMA";3
2016;2;"A6";"BEMA";2
2017;2;"A6";"BEMA";7
2019;2;"A6";"BEMA";0
