Paper Key #,First Author,Year,Data.Extractor,Response variable,Greenhouse or field experiment,Ecosystem,Longterm (>1 season),Manipulated or natural densities?,Focal.Species,Focal.Lifestage,Focal.Form,Focal.Origin,Comp.Species,Comp.Lifestage,Comp.Form,Comp.Origin,treatment,nonsig.zero,competition coefficient,Negative coefs mean competition,standard error of coefficient,Description of Uncertainty Metric,P Value,DF,CI lower,CI upper,Comments
K5FDDJK2,Bieng,2013,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Quercus petraea,Adult,Tree,Native,Quercus petraea,Adult,Tree,Native,NA,0,-0.196,Yes,0.042,,,218,,,
K5FDDJK2,Bieng,2013,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Quercus petraea,Adult,Tree,Native,Pinus sylvestris,Adult,Tree,Native,NA,0,-0.094,Yes,0.024,,,218,,,
K5FDDJK2,Bieng,2013,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Pinus sylvestris,Adult,Tree,Native,Pinus sylvestris,Adult,Tree,Native,NA,0,-0.0855,Yes,0.0241,,,258,,,
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Prunus pensylvanica,Adult,Tree,Native,Prunus pensylvanica,Adult,Tree,Native,NA,0,0.99,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Prunus pensylvanica,Adult,Tree,Native,Populus tremuloides,Adult,Tree,Native,NA,0,0,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Prunus pensylvanica,Adult,Tree,Native,Betula papyrifera,Adult,Tree,Native,NA,0,0.01,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Prunus pensylvanica,Adult,Tree,Native,Abies balsamea,Adult,Tree,Native,NA,0,1,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Prunus pensylvanica,Adult,Tree,Native,Other conifers,Adult,Tree,Native,NA,0,0.4,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Prunus pensylvanica,Adult,Tree,Native,Other broadleaves,Adult,Tree,Native,NA,0,0.65,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
6PXVWDV9,Boivin,2010,Tucker,Diameter growth,Field,Forest,Longterm,Natural,Populus tremuloides,Adult,Tree,Native,Prunus pensylvanica,Adult,Tree,Native,NA,0,0.03,No,,"No DF or standard error given. N of each tree species is given. Authors report SI which is the 2 AIC unit asymptotic ""support interval"" for each parameter (I don't know how we could use this...).",, ,,,"Some trees were adults, some were saplings. Diameter ranges given in paper, rougly 2-10 for all species."
